"Zone" "Ward" "Area" "Location" "Street" "Cases" "importDate"
1 1 "KATHIVAKKAM" "ULLAGANATHAPURAM" "ULAGANATHAPURAM  MAIN ROAD" 1 "2021-05-03"
1 2 "KATHIVAKKAM" "NEHRU NAGAR" "NEHRU NAGAR III CROSS ST" 1 "2021-05-03"
1 3 "ENNORE" "ANNAI SIVAGAMI NAGAR" "ANNAI SIVAGAMI NAGAR 4TH STREET" 2 "2021-05-03"
1 3 "ENNORE" "ANNAI SIVAGAMI NAGAR" "ANNAI SIVAGAMI NAGAR 8TH STREET" 1 "2021-05-03"
1 3 "ERNAVOOR" "ALL INDIA RADIO NAGAR" "TAMILNADU SLUM CLEARANCE BOARD BLOCK 13" 1 "2021-05-03"
1 3 "ENNORE" "ANNAI SIVAGAMI NAGAR" "ANNAI SIVAGAMI NAGAR 7TH STREET" 1 "2021-05-03"
1 4 "ERNAVOOR" "KAMARAJ NAGAR" "KAMARAJ NAGAR 3RD CROSS STREET" 1 "2021-05-03"
1 4 "TIRUVOTTRIYUR" "JOTHI NAGAR" "JOTHI NAGAR 1ST STREET" 1 "2021-05-03"
1 4 "ERNAVOOR" "BAJANAI KOIL STREET" "BAJANAI KOIL STREET" 1 "2021-05-03"
1 5 "WIMCO NAGAR" "SRI RANGAM NEW TOWN" "4THSTREET" 2 "2021-05-03"
1 5 "ERNAVOOR" "Ramakrishna Nagar" "Ramakrishna Nagar 1st main Road" 2 "2021-05-03"
1 5 "ERNAVOOR" "Bharath Nagar" "Bharath Nagar 2nd Cross Street" 1 "2021-05-03"
1 5 "AJAX" "JEEVANLAL NAGAR" "JEEVANLAL NAGAR 3RD STREET" 1 "2021-05-03"
1 5 "ERNAVOOR" "Sakthipuram" "Sakthipuram  2nd Street" 1 "2021-05-03"
1 6 "TIRUVOTTRIYUR" "MURUGAPPA NAGAR" "NETHAJI STREET" 1 "2021-05-03"
1 6 "TIRUVOTTRIYUR" "RAJASHANMUGAM NAGAR" "RAJASHANMUGAM NAGAR 11TH STREET" 1 "2021-05-03"
1 6 "TIRUVOTTRIYUR" "SARASWATHI NAGAR" "SARASWATHI NAGAR 5TH STREET" 1 "2021-05-03"
1 6 "TIRUVOTTRIYUR" "RAJASHANMUGAM NAGAR" "RAJASHANMUGAM NAGAR 11 TH CROSS STREET" 1 "2021-05-03"
1 6 "TIRUVOTTRIYUR" "JOTHI NAGAR" "JOTHI NAGAR MAIN ROAD" 1 "2021-05-03"
1 6 "TIRUVOTTRIYUR" "PONNI AMMAN NAGAR" "PONNI AMMAN NAGAR 2ND CROSS STREET" 1 "2021-05-03"
1 6 "TIRUVOTTRIYUR" "JOTHI NAGAR" "JOTHI NAGAR 5TH STREET" 1 "2021-05-03"
1 6 "TIRUVOTTRIYUR" "RAJASHANMUGAM NAGAR" "RAJASHANMUGAM NAGAR 3RD STREET" 1 "2021-05-03"
1 6 "TIRUVOTTRIYUR" "SAKTHI GANAPATHI NAGAR" "SAKTHI GANAPATHI NAGAR 2ND STREET" 1 "2021-05-03"
1 7 "TIRUVOTTRIYUR" "BALAKRISHNA NAGAR" "BALAKRISHNA NAGAR NEHRU STREET" 1 "2021-05-03"
1 7 "TIRUVOTTRIYUR" "CHARLES NAGAR" "CHARLES NAGAR 3RD STREET" 1 "2021-05-03"
1 7 "TIRUVOTTRIYUR" "R.M.V. Nagar" "R.M.V. Nagar main Road" 1 "2021-05-03"
1 7 "TIRUVOTTRIYUR" "GARGIL NAGAR" "SARAVANAN RD" 1 "2021-05-03"
1 8 "TIRUVOTTRIYUR" "PERIYAR NAGAR" "TIRUVOTTRIYUR HIGH ROAD" 2 "2021-05-03"
1 8 "TIRUVOTTRIYUR" "PERIYAR NAGAR" "GANGAI NAGAR" 1 "2021-05-03"
1 8 "TIRUVOTTRIYUR" "TSR NAGAR" "TSR NAGAR B ANNA STREET" 1 "2021-05-03"
1 9 "TIRUVOTTRIYUR" "EASANIMOORTHY KOIL" "EASANI MOORTHY KOIL STREET" 2 "2021-05-03"
1 9 "TIRUVOTTRIYUR" "APPAR SWAMY KOIL" "APPAR SWAMY KOIL STREET" 2 "2021-05-03"
1 10 "TIRUVOTTRIYUR" "RAJESWARI NAGAR" "RAJESWARI NAGAR" 2 "2021-05-03"
1 10 "TIRUVOTTRIYUR" "SADAYAN KUPPAM" "SADAYAN KUPPAM BATTAI" 2 "2021-05-03"
1 10 "TIRUVOTTRIYUR" "SOUTH MADA" "SOUTH MADA STREET" 1 "2021-05-03"
1 10 "TIRUVOTTRIYUR" "KUMARAPPA NAGAR" "KUMARAPPA NAGAR" 1 "2021-05-03"
1 10 "TIRUVOTTRIYUR" "THIRUMALAI AVENUE" "SOUTH MADA STREET" 1 "2021-05-03"
1 10 "TIRUVOTTRIYUR" "NORTH RAILWAY STATION ROAD" "NORTH RAILWAY STATION ROAD" 1 "2021-05-03"
1 10 "TIRUVOTTRIYUR" "North mada street" "North Mada Street 1st lane" 1 "2021-05-03"
1 10 "TIRUVOTTRIYUR" "KOMATHA NAGAR" "KOMATHA NAGAR 3RD STREET" 1 "2021-05-03"
1 10 "TIRUVOTTRIYUR" "AMSA THOTTAM" "AMSA THOTTAM 4TH STREET" 1 "2021-05-03"
1 11 "KALADIPET" "CHINNA METTU PALAYAM" "Kailash Sector - 4Street" 2 "2021-05-03"
1 11 "TIRUVOTTRIYUR" "SATHIYAMURTHY NAGAR" "SATHIYAMURTHY NAGAR" 1 "2021-05-03"
1 12 "KALADIPET" "KALADIPET" "Veera ragavan street" 2 "2021-05-03"
1 12 "KALADIPET" "WEST MADA STREET" "WEST MADA STREET" 2 "2021-05-03"
1 12 "KALADIPET" "KUMARAN NAGAR" "KUMARAN NAGAR 5TH STREET" 2 "2021-05-03"
1 12 "THANGAL" "VASANTHA NAGAR" "VASANTHA NAGAR" 1 "2021-05-03"
1 12 "KALADIPET" "RAJAKADAI" "NEW STREET" 1 "2021-05-03"
1 13 "TIRUVOTTRIYUR" "VILLAGE STREET" "VILLAGE STREET LANE" 2 "2021-05-03"
1 13 "TIRUVOTTRIYUR" "SATHANGADU" "METTU STREET 3RD CROSS STREET" 1 "2021-05-03"
1 13 "TIRUVOTTRIYUR" "SATHANGADU" "METTU STREET 1ST CROSS STREET" 1 "2021-05-03"
1 13 "null" "SATHANGADU" "UDAYASURIYAN STREET ANNA NAGAR" 1 "2021-05-03"
1 13 "TIRUVOTTRIYUR" "SATHANGADU" "UDAIYASURIYAN 1ST STREET" 1 "2021-05-03"
2 15 "EDYANCHAVADI" "MANALI NEW TOWN" "BLOCK-18" 1 "2021-05-03"
2 16 "SADAIYANKUPPAM" "ELANDANUR" "ELANDANUR PERUMAL KOIL STREET" 1 "2021-05-03"
2 16 "KADAPAKKAM" "RAJIV GANDHI NAGAR" "RAJIVGANDHI NAGAR 1ST STREET" 1 "2021-05-03"
2 16 "SADAIYANKUPPAM" "MANALI NEW TOWN" "TNHB PHASE 1 BLOCK 4 16 FEET ROAD 1ST LANE" 1 "2021-05-03"
2 17 "VADAPERUMBAKKAM" "VADAPERUMBAKKAM" "V.S.MANI NAGAR" 2 "2021-05-03"
2 18 "MANALI" "AMBEDKAR PLAY GROUND" "ZAHIR HUSSAIN 2ND STREET" 1 "2021-05-03"
2 18 "MANALI" "KALAIGNAR NAGAR" "A.F GARDAN" 1 "2021-05-03"
2 18 "MANALI" "ANBALAGAN STREET" "ANBALAGAN STREET 1ST LANE" 1 "2021-05-03"
2 19 "MATHUR" "MMDA" "MMDA 1ST MAIN ROAD CROSS STREET" 1 "2021-05-03"
2 19 "MATHUR" "MMDA" "MMDA 3RD MAIN ROAD" 1 "2021-05-03"
2 19 "MATHUR" "MMDA" "MMDA 13TH STREET" 1 "2021-05-03"
2 19 "MATHUR" "PERIYAMATHUR" "KAMARAJAR SALAI" 1 "2021-05-03"
2 19 "MATHUR" "MMDA" "MMDA 69TH STREET" 1 "2021-05-03"
2 19 "MATHUR" "MMDA" "MMDA 16TH STREET" 1 "2021-05-03"
2 19 "MATHUR" "PERIYAMATHUR" "PONNIAMMAN KOIL STREET" 1 "2021-05-03"
2 19 "MATHUR" "MMDA" "MMDA 109TH STREET" 1 "2021-05-03"
2 19 "MATHUR" "MMDA" "MMDA 4TH MAIN ROAD CROSS STREET" 1 "2021-05-03"
2 20 "MANALI" "EB OFFICE" "CHINNAMATHUR ROAD" 1 "2021-05-03"
2 20 "MANALI" "EB OFFICE" "CHINNAKANNU STREET" 1 "2021-05-03"
2 21 "MANALI" "THIRUVALLUVAR THIRUMANA MANDAPAM" "SANNATHI STRAIGHT STREET" 1 "2021-05-03"
3 22 "PUZHAL" "Near Panchayat Office" "Gandhi Main Street" 2 "2021-05-03"
3 22 "PUZHAL" "Balaji Nagar" "Macro Marble 2nd Main Road Balaji Nagar" 2 "2021-05-03"
3 22 "KAVANKARAI" "KAVANKARAI EAST" "Shanthini Avenue" 1 "2021-05-03"
3 22 "KAVANKARAI" "Kannadapalayam" "Jeeva 2nd Street" 1 "2021-05-03"
3 22 "KAVANKARAI" "Thiruneelagandar Nagar" "Thiruneelagandar Nagar 3rd Part" 1 "2021-05-03"
3 22 "PUZHAL" "Near JAIN TEMPLE" "Sivaraj 2nd  Street" 1 "2021-05-03"
3 23 "PUZHAL" "Lakshmiamman Koil" "Lakshmiamman Koil Main  Street" 1 "2021-05-03"
